Name,Position,Years,Height,Weight,Games,Minutes,Points,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Draft_Status
Kannon Burrage,Guard,2,75,185,32,29.9062,15.3438,4.125,1.34375,0.953125,0.046875,2.0625,1.89062,0
Sindarius Thornwell,Guard,4,77,211,33,31.803,14.6742,5.19697,2.96212,1.50758,0.590909,2.50758,2.42424,1
Chester Frazier,Guard,3,74,190,29.3333,32.8182,5.61364,4.75,4.30682,1.23864,0.204545,2.25,1.79545,0
Aamir McCleary,Guard,1,73,165,24,31.0833,11.4583,4.29167,4.83333,1.25,0,3.5,1.95833,0
Norman Powell,Guard,4,76,215,35.25,25.2199,9.75887,3.00709,1.51064,1.12057,0.397163,1.2766,2.04255,1
Darryl Gaynor II,Guard,1,74,182,14.5,24.3103,8.96552,1.41379,2,0.655172,0.0689655,2.82759,2.17241,0
Brian Laing,Forward,2,77,219,28.5,37.1404,17.193,6.73684,2.07018,1.57895,0.508772,2.24561,2.75439,0
Devyn Marble,Guard,4,79,192,34,27.5809,12.4559,3.38235,2.91912,1.29412,0.242647,1.70588,1.55882,0
Xavier Pollard,Guard,4,76,210,25.25,23.9703,9.69307,3.54455,2.9505,1.12871,0.128713,2.09901,2.43564,0
Ricky Hickman,Guard,1,75,175,14,29.9286,14.6429,3.32143,2.42857,1.75,0.25,3.21429,2.5,0
Joel Anthony,Center,1,81,245,35,17.8857,5.2,4.02857,0.428571,0.428571,2.82857,0.8,2.42857,0
Papa Dia,Forward,4,81,235,29.5,26.0847,11.7966,7.41525,1.11017,0.70339,1.14407,2.59322,2.58475,0
Mickell Gladness,Center,2,82,215,25.5,30.0588,9.5098,8.07843,0.686275,0.686275,5.33333,1.7451,2.58824,0
Delroy James,Forward,4,80,220,30,25.2,11.9,5.73333,1.8,1.20833,0.866667,2.24167,2.41667,0
